id,popularity,revenue,status,vote_average,vote_count,trend_day
436969,2115.735,165270343,Released,7.9,3849,2021-09-18
585216,1723.565,44888959,Released,7.1,308,2021-09-18
565028,335.401,53000000,Released,6.8,218,2021-09-19
749274,192.746,0,Released,7.7,34,2021-09-19
739990,154.378,0,Released,7.2,55,2021-09-19
637534,99.214,0,Released,8.0,213,2021-09-19
680531,58.089,0,Released,7.4,19,2021-09-19
523638,167.208,0,Released,5.7,49,2021-09-19
631843,709.071,84524080,Released,6.6,628,2021-09-19
579047,326.381,18717947,Released,7.2,600,2021-09-19
597891,1638.711,0,Released,6.8,346,2021-09-19
438631,504.117,0,Released,8.2,389,2021-09-19
497698,1720.402,370037090,Released,7.8,5038,2021-09-19
624899,28.475,0,Released,6.4,17,2021-09-19
619778,2140.151,15070000,Released,7.2,473,2021-09-19
750253,29.463,0,Released,0.0,0,2021-09-19
855823,103.963,0,Released,7.3,72,2021-09-19
840427,7.682,0,Released,7.1,8,2021-09-19
566525,2522.856,257000000,Released,7.9,889,2021-09-19
436969,2529.715,165270343,Released,7.9,3885,2021-09-19
585216,1695.069,44888959,Released,7.1,326,2021-09-19
385128,1166.824,714392860,Released,7.5,3659,2021-09-19
565028,469.561,66692490,Released,6.7,238,2021-09-20
749274,269.844,0,Released,7.5,51,2021-09-20
637534,138.9,0,Released,8.0,233,2021-09-20
739990,216.129,0,Released,7.1,67,2021-09-20
438631,552.16,36800000,Released,8.2,509,2021-09-20
680531,81.325,0,Released,7.6,34,2021-09-20
579047,318.145,18717947,Released,7.2,618,2021-09-20
523638,234.091,0,Released,5.8,60,2021-09-20
631843,700.619,84524080,Released,6.7,685,2021-09-20
497698,2250.11,370037090,Released,7.8,5053,2021-09-20
597891,2294.195,0,Released,6.8,377,2021-09-20
619778,2410.363,15070000,Released,7.2,505,2021-09-20
624899,39.865,0,Released,6.2,24,2021-09-20
566525,2632.018,272000000,Released,7.9,929,2021-09-20
436969,3162.455,165270343,Released,7.9,3909,2021-09-20
385128,1474.762,714392860,Released,7.5,3683,2021-09-20
750253,41.248,0,Released,0.0,0,2021-09-20
855823,145.548,0,Released,7.3,85,2021-09-20
840427,10.755,0,Released,6.6,15,2021-09-20
585216,1904.542,44888959,Released,7.1,335,2021-09-20
637534,194.46,0,Released,8.0,245,2021-09-21
565028,657.385,66692490,Released,6.6,263,2021-09-21
749274,377.782,0,Released,7.4,63,2021-09-21
438631,462.998,39000000,Released,8.2,568,2021-09-21
739990,302.581,0,Released,7.1,75,2021-09-21
680531,113.855,0,Released,7.5,41,2021-09-21
497698,1788.414,370037090,Released,7.8,5067,2021-09-21
566525,2218.744,288808782,Released,7.9,950,2021-09-21
579047,232.592,18717947,Released,7.2,622,2021-09-21
619778,1726.644,15070000,Released,7.2,527,2021-09-21
631843,527.846,84524080,Released,6.7,717,2021-09-21
523638,193.01,0,Released,5.6,68,2021-09-21
624899,55.811,0,Released,6.6,29,2021-09-21
436969,2472.96,166470323,Released,7.9,3946,2021-09-21
597891,2554.137,0,Released,6.8,392,2021-09-21
385128,1099.307,714392860,Released,7.5,3693,2021-09-21
